,x5,magnit
0,Сервер DELL PowerEdge,"Сервер Dell PowerEdge R440 2xGold 6240/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x550W/5Y"
1,Сервер DELL PowerEdge,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
2,Сервер DELL PowerEdge,"Сервер Dell PowerEdge R440 2xGold 6240/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x550W/5Y"
3,Сервер DELL PowerEdge,Сервер Dell PowerEdge R640 Server Сервер БД и Виртуализации РЦ с ТП 5 лет
4,Сервер DELL PowerEdge,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
5,Сервер DELL PowerEdge,Сервер Dell PowerEdge R640 Server Сервер БД и Виртуализации РЦ с ТП 5 лет
6,Сервер DELL PowerEdge,Сервер Dell PowerEdge R640 Server Сервер БД и Виртуализации РЦ с ТП 5 лет
7,Сервер DELL PowerEdge,Сервер Dell PowerEdge R640 Server для управления двором (QMS) РЦ с ТП 5 лет
8,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
9,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
10,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
11,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
12,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
13,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
14,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
15,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
16,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
17,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
18,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
19,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
20,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
21,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
22,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
23,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
24,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
25,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
26,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
27,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
28,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
29,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
30,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
31,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
32,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных UROVO U2
33,Терминал сбора данных Urovo U2 new ИМ,Терминал сбора данных Urovo DT50
34,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
35,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
36,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
37,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
38,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
39,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
40,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
41,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
42,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
43,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
44,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
45,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
46,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
47,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
48,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
49,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
50,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
51,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
52,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
53,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
54,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
55,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
56,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
57,Коммутатор Cisco WS-C2960R+48PST-S(2020),WS-C2960R+24PC-L
58,Коммутатор CISCO WS-C2960R+48PST-S,WS-C2960R+24PC-L
59,Коммутатор CISCO WS-C2960R+48PST-S,WS-C2960R+24PC-L
60,Коммутатор CISCO WS-C2960R+48PST-S,WS-C2960R+24PC-L
61,Маршрутизатор Cisco ISR4321R-V/K9,Cisco ISR4431-SEC/K9
62,Маршрутизатор Cisco ISR4321R-V/K9,Cisco ISR4431-SEC/K9
63,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
64,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
65,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
66,Терминал сбора данных Urovo DT50,Терминал сбора данных Urovo DT50
67,Сервер Dell PowerEdge R640 Intel 5120,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
68,Сервер Dell PowerEdge R640 Intel 5120,"Сервер Dell PowerEdge R640 2xGold 6226R/6x16Gb RDIMM/8x900Gb 15K 2.5"" SAS/PERC H730P 2Gb/2x750W/5Y"
69,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
70,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
71,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
72,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
